Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,20130100,議会費,20130110,183320000,2013
総務費,20130200,総務管理費,20130210,927737000,2013
総務費,20130200,徴税費,20130220,166813000,2013
総務費,20130200,戸籍住民基本台帳費,20130230,100111000,2013
総務費,20130200,選挙費,20130240,37507000,2013
総務費,20130200,統計調査費,20130250,12534000,2013
総務費,20130200,監査委員費,20130260,20374000,2013
民生費,20130300,社会福祉費,20130310,1886700000,2013
民生費,20130300,児童福祉費,20130320,1367094000,2013
民生費,20130300,生活保護費,20130330,357754000,2013
衛生費,20130400,保健衛生費,20130410,319445000,2013
衛生費,20130400,清掃費,20130420,296401000,2013
衛生費,20130400,病院費,20130430,449066000,2013
労働費,20130500,労働諸費,20130510,66535000,2013
農林水産業費,20130600,農業費,20130610,444611000,2013
農林水産業費,20130600,林業費,20130620,28082000,2013
商工費,20130700,商工費,20130710,534375000,2013
土木費,20130800,土木管理費,20130810,11175000,2013
土木費,20130800,道路橋りょう費,20130820,504884000,2013
土木費,20130800,河川費,20130830,73949000,2013
土木費,20130800,都市計画費,20130840,836184000,2013
土木費,20130800,住宅費,20130850,72698000,2013
消防費,20130900,消防費,20130910,523321000,2013
教育費,20131000,教育総務費,20131010,149709000,2013
教育費,20131000,小学校費,20131020,207443000,2013
教育費,20131000,中学校費,20131030,142942000,2013
教育費,20131000,社会教育費,20131040,336074000,2013
教育費,20131000,保健体育費,20131050,163713000,2013
災害復旧費,20131100,農林水産業施設災害復旧費,20131110,1000,2013
公債費,20131200,公債費,20131210,1043448000,2013
予備費,20131300,予備費,20131310,20000000,2013
